entity,time,group,segment,value
0,0,A,train,9.857237954471579
0,1,A,train,10.257567458389842
0,2,A,train,10.068094296375655
0,3,A,train,10.820801911261887
0,4,A,train,10.799362847774312
0,5,A,train,10.698756671243926
0,6,A,train,10.718823164440735
0,7,A,train,10.821604747212728
0,8,A,train,10.694943706175279
0,9,A,train,10.68044177069108
0,10,A,train,10.846309949022153
0,11,A,train,10.83381546139003
0,12,A,train,10.78759958401521
0,13,A,train,10.872318984568897
0,14,A,train,11.025807948682573
0,15,A,train,11.000631393930663
0,16,A,train,11.139841849601776
0,17,A,train,11.381940262838555
0,18,A,train,11.285757095068504
0,19,A,train,11.035033587354825
0,20,A,train,11.116369680637604
0,21,A,train,11.194142298408783
0,22,A,train,10.875314518733017
0,23,A,train,10.71695159092274
0,24,A,train,10.690412714067513
0,25,A,train,10.756172421048275
0,26,A,train,10.186223930719343
0,27,A,train,10.483579186400913
0,28,A,train,9.983084212401007
0,29,A,train,10.227617524034152
0,30,A,train,9.990803544062185
0,31,A,train,10.4463230371494
0,32,A,train,10.335078792809076
0,33,A,train,10.339174236072072
0,34,A,train,9.885345211076938
0,35,A,train,10.040149318047257
0,36,A,train,9.665884171139748
0,37,A,train,9.504072529070605
0,38,A,train,9.507706648349675
0,39,A,train,9.42653739274743
0,40,A,train,9.196348666115766
0,41,A,train,8.987259089907786
0,42,A,train,8.946461478667958
0,43,A,train,9.400326610566953
0,44,A,train,9.332205168549642
0,45,A,train,9.463607015823355
0,46,A,train,9.841416668942996
0,47,A,train,9.404039035282423
0,48,A,train,10.0887532809797
0,49,A,train,10.23971003701444
0,50,A,train,9.975819273452906
0,51,A,train,9.820267244265871
0,52,A,train,9.527108521049216
0,53,A,train,9.80601820448129
0,54,A,train,9.550223643344601
0,55,A,train,9.66589768896971
0,56,A,train,9.703432345626606
0,57,A,train,9.940568785181624
0,58,A,train,10.297071692509485
0,59,A,train,10.170175826567435
0,60,A,train,10.309437756268668
0,61,A,train,10.515086501646861
0,62,A,train,10.704121746571722
0,63,A,train,10.76368687076336
0,64,A,train,10.95254564703411
0,65,A,train,11.398243802148142
0,66,A,train,11.067935509669848
0,67,A,train,11.204584270292441
0,68,A,train,10.914103799082316
0,69,A,train,11.147005779971753
0,70,A,train,10.80925643355571
0,71,A,train,11.034554513807423
0,72,A,train,11.637128544770945
0,73,A,train,11.224723325511201
0,74,A,train,11.644529525768451
0,75,A,train,11.63619812970744
0,76,A,train,11.617850439281282
0,77,A,train,11.582248393002034
0,78,A,train,11.936705252140792
0,79,A,train,11.624606373095142
0,80,A,train,11.831585747248258
0,81,A,train,11.285946922825048
0,82,A,train,11.258755574404
0,83,A,train,11.158391301415232
0,84,A,train,10.979767504661803
0,85,A,train,10.555847834831289
0,86,A,train,10.560804817734361
0,87,A,train,10.586958498245924
0,88,A,train,10.444828135909177
0,89,A,train,10.71942113794448
0,90,A,train,10.70923975143385
0,91,A,train,10.246752292681157
0,92,A,train,10.244216111562771
0,93,A,train,10.27265661627611
0,94,A,train,10.418994546946236
0,95,A,train,10.62273193296174
0,96,A,train,10.022182613771474
0,97,A,train,9.962121308670369
0,98,A,train,9.56238486897408
0,99,A,train,9.431216714453889
0,100,A,train,9.177153732098894
0,101,A,train,9.486661947356422
0,102,A,train,9.678109783155605
0,103,A,train,9.506155761548111
0,104,A,train,9.918305737644332
0,105,A,train,9.81576231809765
0,106,A,train,9.885129553094464
