entity,time,group,segment,value,watermarked_value,bit_id,target_direction,perturbation
0,0,A,train,9.857237954471579,9.761745568530616,8,-1,-0.09549238594096345
0,1,A,train,10.257567458389842,10.305348766525904,4,1,0.04778130813606293
0,2,A,train,10.068094296375655,9.99666585186485,1,-1,-0.07142844451080493
0,3,A,train,10.820801911261887,10.758009785982424,8,-1,-0.06279212527946365
0,4,A,train,10.799362847774312,10.899778518321266,10,1,0.1004156705469547
0,5,A,train,10.698756671243926,10.898040153045317,4,1,0.19928348180139044
0,6,A,train,10.718823164440735,10.809917091247627,11,1,0.09109392680689124
0,7,A,train,10.821604747212728,10.740738058404649,8,-1,-0.08086668880808
0,8,A,train,10.694943706175279,10.771654743307893,0,1,0.07671103713261451
0,9,A,train,10.68044177069108,10.76704990082433,2,1,0.08660813013325044
0,10,A,train,10.846309949022153,10.77123427654842,8,-1,-0.07507567247373374
0,11,A,train,10.83381546139003,11.030298776233208,0,1,0.19648331484317869
0,12,A,train,10.78759958401521,10.809692828623499,6,1,0.02209324460828936
0,13,A,train,10.872318984568897,11.07247667070725,2,1,0.2001576861383521
0,14,A,train,11.025807948682573,11.165287723018505,6,1,0.13947977433593153
0,15,A,train,11.000631393930663,11.01550678825887,5,1,0.014875394328206587
0,16,A,train,11.139841849601776,11.21504004841377,6,1,0.0751981988119935
0,17,A,train,11.381940262838555,11.550313741877872,10,1,0.16837347903931776
0,18,A,train,11.285757095068504,11.30637943837616,5,1,0.02062234330765611
0,19,A,train,11.035033587354825,11.106219046474969,2,1,0.07118545912014393
0,20,A,train,11.116369680637604,11.283913678519674,5,1,0.16754399788207036
0,21,A,train,11.194142298408783,11.411568027900516,0,1,0.217425729491733
0,22,A,train,10.875314518733017,10.904993066250434,6,1,0.029678547517416998
0,23,A,train,10.71695159092274,10.850806480947458,6,1,0.13385489002471773
0,24,A,train,10.690412714067513,10.643853951902841,3,-1,-0.04655876216467145
0,25,A,train,10.756172421048275,10.633855300487701,3,-1,-0.12231712056057455
0,26,A,train,10.186223930719343,10.283103749646589,4,1,0.09687981892724605
0,27,A,train,10.483579186400913,10.566553576686227,7,1,0.08297439028531281
0,28,A,train,9.983084212401007,10.113091707575942,7,1,0.13000749517493498
0,29,A,train,10.227617524034152,10.340691608470966,9,1,0.11307408443681326
0,30,A,train,9.990803544062185,9.856962008308185,8,-1,-0.1338415357539997
